"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 7:19 PM,"wonder","1426553678455054344",,"-1","tl","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @loonaschedule: Yves (lastyvesniin) Naver blog update ?

#????? #LOONA #?? #Yves https://t.co/KpmdtQ6CK3",,,52.0,"1667491579810938880"
6/10/23 7:18 PM,"Peber Dee","1196375362160254976",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @loonaschedule: HyunJin (hyunjinab) is currently live on Instagram ? 

? https://t.co/TfBvYJ9udg

#????? #LOONA #?? #HyunJin https://t.c…",,,2.0,"1667491545686106114"
6/10/23 7:18 PM,"LOONA Schedule","1236903665522204672",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","HyunJin (hyunjinab) is currently live on Instagram ? 

? https://t.co/TfBvYJ9udg

#????? #LOONA #?? #HyunJin https://t.co/rFxnFgy0ph",,,2.0,"1667491475612114947"
6/10/23 7:18 PM,"??","980091644149088259",,"-1","da","<a href='https://twitter.com' rel='nofollow'>TweetDeck Web App</a>","RT @loona_igbot: ?hyunjinab IG Live Started - 230610 20:17 KST
https://t.co/6FmUkZhxXA

#LOONA #????? #HyunJin #?? https://t.co/Qb24sHxUid",,,1.0,"1667491459954790401"
6/10/23 7:18 PM,"dudinha","1375939505966944259",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","cite sua música fav de cada gg abaixo

blackpink - lovesick girls
twice -  cruel/basics/up no more
red velvet - day 1
loona - love4eva
itzy - wannabe
aespa - thirsty
ive -  love dive
new jeans - attention
le sserafim: eve, psyche & the bluebeard's wife https://t.co/6jpb1svrKk",,,0.0,"1667491434025426949"
6/10/23 7:18 PM,"Loona the hellhound fan","1596178517892399104",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @TF_Moments: An animation error in the G1 Cartoon Episode 'The Secret of Omega Supreme' hilariously depicts Sideswipe standing next to M…",,,96.0,"1667491373669294080"
6/10/23 7:18 PM,"LOONA Instagrams","1617979378134298624",,"-1","da","<a href='https://www.idalso.com' rel='nofollow'>Daldot</a>","?hyunjinab IG Live Started - 230610 20:17 KST
https://t.co/6FmUkZhxXA

#LOONA #????? #HyunJin #?? https://t.co/Qb24sHxUid",,,1.0,"1667491313162518528"
6/10/23 7:17 PM,"rory - qs","1637432952547336192",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","wts lfb twice loona gidle aespa red velvet new jeans pc photocard poca nayeon vivi winter ningning yeri wendy hanni minji hyein haerin dani bag wink jersey ube nabi tink peace lipstick princess beret pink green clear pob bday ina ph my th kr ?? ?? ??????? https://t.co/eJ4vHY2XQn",,,0.0,"1667491249853726720"
6/10/23 7:17 PM,"gabe","1351361165042003971","RUNEXTBrasil","1420728580737220611","pt","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@RUNEXTBrasil adm eu tenho uma suspeita de que a hyunjin do loona vai tá no reality oq vc acha?? ?",,,0.0,"1667491189820469248"
6/10/23 7:17 PM,"Loona the hellhound fan","1596178517892399104",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @TheCartoonBase: Ian McGinty has sadly passed away.

A comic book writer and artist known for his work on Adventure Time, Invader Zim an…",,,2083.0,"1667491168303693831"
6/10/23 7:17 PM,"ariaa","936186405021028352",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @haerinigga: AND LOONA IS...
https://t.co/LxbDMcBTbG",,,24.0,"1667491151883153411"
